appid,name,release_date,required_age,price,dlc_count,header_image,windows,mac,linux,metacritic_score,recommendations,supported_languages,full_audio_languages,publishers,positive,negative,average_playtime_forever,median_playtime_forever,discount,peak_ccu,pct_pos_total,num_reviews_total,tags_sep,publisher
1591220,Tamarak Trail,2024-02-29,0.0,14.99,1,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1591220/header.jpg?t=1721026720,True,False,False,0,0,"['English', 'French', 'German', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese']","['English', 'Traditional Chinese']","['Versus Evil', 'tinyBuild']",77,23,0,0,0,1,70.0,70.0,"['Procedural Generation', 'Deckbuilding', 'Strategy', 'Roguelike Deckbuilder', 'Rogue-like', 'Casual', 'Card Game', 'Card Battler', 'Replay Value', 'Dungeon Crawler', 'RPG', 'Difficult', 'Turn-Based', '2D', 'Cartoon', 'Hand-drawn', 'Singleplayer', 'Atmospheric', 'Female Protagonist', 'Turn-Based Strategy']",Versus Evil
3070370,Invasion of The Halloween Fiends,2024-10-01,0.0,3.49,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3070370/header.jpg?t=1727787622,True,False,False,0,0,['English'],['English'],['MyGrandfather Games'],79,2,0,0,0,0,97.0,70.0,"['Horror', 'Thriller', 'Dark Comedy', ""1990's"", 'Psychological Horror', 'Retro', 'Aliens', 'Walking Simulator', 'First-Person', 'Old School', '3D', 'Casual', 'Linear', 'Narration', 'Stylized', 'Atmospheric', 'Immersive Sim', 'Life Sim', 'Adventure', 'Exploration']",MyGrandfather Games
2460130,Teenage Mutant Ninja Turtles: Mutants Unleashed,2024-10-18,0.0,39.99,5,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2460130/header.jpg?t=1729253232,True,False,False,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Danish', 'Dutch', 'Finnish', 'Norwegian', 'Polish', 'Portuguese - Brazil', 'Spanish - Latin America', 'Swedish', 'Traditional Chinese']","['English', 'French', 'German', 'Spanish - Spain', 'Spanish - Latin America', 'Traditional Chinese']",['Outright Games Ltd.'],51,30,0,0,0,2,58.0,70.0,"[""Beat 'em up"", 'Martial Arts', '3D Fighter', 'Action', '3D', 'Comic Book', 'Controller', 'Cartoony', 'Colorful', 'Adventure', 'Family Friendly', 'Ninja', 'Cartoon', 'Combat', 'Co-op', 'Local Co-Op', 'Multiplayer', 'Singleplayer', 'Fighting']",Outright Games Ltd.
1299290,Somber Echoes,2025-01-21,0.0,24.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1299290/header.jpg?t=1739831473,True,False,False,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Norwegian', 'Portuguese - Portugal']","['English', 'Portuguese - Portugal']",['Bonus Stage Publishing'],75,10,0,0,0,4,87.0,70.0,"['Drama', 'Cinematic', 'Metroidvania', 'Dark', 'Dark Fantasy', 'Action-Adventure', 'Multiple Endings', 'Platformer', 'Souls-like', 'Singleplayer', 'Action', 'Atmospheric', 'Adventure', 'Mythology', 'Fantasy', 'Story Rich', '2D Platformer', 'Swordplay', 'Sci-fi', 'Exploration']",Bonus Stage Publishing
2432000,Inside the Labs,2024-04-05,0.0,3.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2432000/header.jpg?t=1712168138,True,False,False,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Japanese', 'Russian', 'Simplified Chinese', 'Portuguese - Brazil']","['English', 'Portuguese - Brazil']",['Chreseeba Games'],125,25,0,0,0,0,70.0,70.0,"['Online Co-Op', 'Multiplayer', 'Adventure', 'Survival Horror', 'Psychological Horror', 'Action', 'Indie', 'Gore', 'Exploration', 'Dark', 'Singleplayer', 'First-Person', 'Action-Adventure', 'Early Access', 'Horror']",Chreseeba Games
2955220,CARD QUEST,2024-11-01,0.0,9.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2955220/header.jpg?t=1738812117,True,True,False,0,0,"['English', 'Simplified Chinese', 'Spanish - Spain', 'Japanese', 'Traditional Chinese', 'Portuguese - Brazil', 'Korean', 'French', 'German']","['Simplified Chinese', 'German']",['猫事多游戏工作室'],74,20,0,0,0,1,71.0,69.0,"['Cats', 'Casual', 'Cute', 'Exploration', 'Strategy', 'Tabletop', 'Rogue-lite', '2D', 'Hand-drawn', 'Magic', 'Stylized', 'Funny', 'Gothic', 'Singleplayer', 'Rogue-like', 'Turn-Based Combat', 'Adventure', 'Indie', 'Mystery Dungeon', 'Card Game']",猫事多游戏工作室
2176460,The Lies We Tell Ourselves,2025-01-15,0.0,7.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2176460/header.jpg?t=1737192621,True,False,False,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']","['English', 'Simplified Chinese']",['Poopsy'],63,22,0,0,0,2,73.0,69.0,"['Psychological Horror', 'Puzzle', 'Atmospheric', 'Story Rich', 'Walking Simulator', 'Horror', 'Dark', 'Exploration', 'Adventure', 'Supernatural', 'Indie', 'Psychological', 'Surreal', 'Emotional', 'Narrative', 'Mystery', 'First-Person', 'Singleplayer', 'Controller', 'Episodic']",Poopsy
2014470,The Abandoned Planet,2024-08-29,0.0,10.49,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2014470/header.jpg?t=1724944964,True,True,True,0,0,"['English', 'Spanish - Spain', 'French', 'German', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese']","['English', 'Traditional Chinese']",['Snapbreak'],74,4,0,0,30,1,94.0,69.0,"['Exploration', 'Puzzle', 'Point & Click', 'Female Protagonist', '2D', 'First-Person', 'Story Rich', 'Pixel Graphics', 'Sci-fi', 'Space', ""1990's"", 'Futuristic', 'Adventure', 'Old School', 'Singleplayer', 'Retro', 'Indie', 'Hidden Object', 'Linear', 'Clicker']",Snapbreak
1571960,The Corpsmen,2024-09-06,0.0,19.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1571960/header.jpg?t=1729670836,True,False,False,0,0,['English'],['English'],['Multicell Games'],57,37,0,0,0,1,57.0,69.0,"['Roguelike Deckbuilder', 'Creature Collector', 'Deckbuilding', 'Card Battler', 'Strategy', 'Card Game', 'Indie', 'Rogue-lite', 'Adventure', '2D', 'Team-Based', 'Perma Death', 'Hand-drawn', 'Fantasy', 'Stylized', 'Mouse only', 'Replay Value', 'Early Access', 'Funny', 'Hunting']",Multicell Games
2562900,Eden Genesis,2024-08-06,0.0,7.49,2,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2562900/header.jpg?t=1731417313,True,False,False,74,0,"['English', 'Spanish - Spain', 'French', 'Italian', 'German', 'Portuguese - Brazil', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Japanese', 'Russian']","['English', 'Russian']",['Aeternum Game Studios S.L'],97,6,0,0,70,1,95.0,69.0,"['Precision Platformer', 'Difficult', 'Cyberpunk', 'Platformer', 'Indie', '2D Platformer', 'Female Protagonist', 'Singleplayer', '2D', 'Story Rich', 'Adventure', 'Asynchronous Multiplayer', 'Puzzle-Platformer', 'Atmospheric', 'LGBTQ+', 'Action', 'Side Scroller', 'Soundtrack', 'Metroidvania', 'Hand-drawn']",Aeternum Game Studios S.L
